Compound Name,DiscoveRx Gene Symbol,Entrez Gene Symbol,Percent Control,Compound Concentration (nM)
AKI00000001a,AAK1,AAK1,100,1000
AKI00000001a,ABL1(E255K)-phosphorylated,ABL1,81,1000
AKI00000001a,ABL1(F317I)-nonphosphorylated,ABL1,73,1000
AKI00000001a,ABL1(F317I)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(F317L)-nonphosphorylated,ABL1,79,1000
AKI00000001a,ABL1(F317L)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(H396P)-nonphosphorylated,ABL1,78,1000
AKI00000001a,ABL1(H396P)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(M351T)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(Q252H)-nonphosphorylated,ABL1,76,1000
AKI00000001a,ABL1(Q252H)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(T315I)-nonphosphorylated,ABL1,100,1000
AKI00000001a,ABL1(T315I)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1(Y253F)-phosphorylated,ABL1,100,1000
AKI00000001a,ABL1-nonphosphorylated,ABL1,94,1000
AKI00000001a,ABL1-phosphorylated,ABL1,100,1000
AKI00000001a,ABL2,ABL2,100,1000
AKI00000001a,ACVR1,ACVR1,100,1000
AKI00000001a,ACVR1B,ACVR1B,28,1000
AKI00000001a,ACVR2A,ACVR2A,100,1000
AKI00000001a,ACVR2B,ACVR2B,100,1000
AKI00000001a,ACVRL1,ACVRL1,100,1000
AKI00000001a,ADCK3,CABC1,100,1000
AKI00000001a,ADCK4,ADCK4,84,1000
AKI00000001a,AKT1,AKT1,100,1000
AKI00000001a,AKT2,AKT2,100,1000
AKI00000001a,AKT3,AKT3,100,1000
AKI00000001a,ALK,ALK,91,1000
AKI00000001a,ALK(C1156Y),ALK,100,1000
AKI00000001a,ALK(L1196M),ALK,100,1000
AKI00000001a,AMPK-alpha1,PRKAA1,100,1000
AKI00000001a,AMPK-alpha2,PRKAA2,100,1000
